issue_title,body
Support listing pull requests by owner/author or self,It would be nice if `pr list` would support listing pull requests by their owner/author (+ A shortcut for listing your own pull requests would be nice too).
More push options in `pull-request -p`,"I hoped to make `hub pull-request -p` a replacement for `git push -u origin` + manually creating a pull request. I can't do this when I need to `push --no-verify` or `push --force`.

Is there any possibility of teaching `hub pull-request -p` to accept these and/or similar arguments, and pass them on to `git push`?"
check head branch exists before creating PR,"Previously hub checked that there were [no unpushed commits](https://github.com/github/hub/blob/b3b3ebb8e517acd269489b9bd163de2f8fd309fc/commands/pull_request.go#L219-L223) but this check doesn't work when there is not even a remote branch.

**Before**
<img width=""431"" alt=""screenshot 2019-03-02 at 22 58 28"" src=""https://user-images.githubusercontent.com/570608/53688632-b8d8e680-3d3e-11e9-86d5-48c654994a31.png"">

**After**
<img width=""503"" alt=""screenshot 2019-03-02 at 23 00 22"" src=""https://user-images.githubusercontent.com/570608/53688643-fb9abe80-3d3e-11e9-8b42-1e84ffe523b0.png"">


This fixes #1930."
pr checkout fails if the author had force-pushed commits,"Consider this work flow:

- Janice asks me to review her pull request
- I run `hub pr checkout 123`
- I request changes; Janice rebases on master and force-pushes to her branch while making changes
- I run `hub pr checkout 123` again

At this point, since I already had the branch checked out, `hub` tries to fast forward my branch. This fails because there are conflicts.

I would love to have a flag like `--force` or `--recreate-branch` that deletes and recreates the branch for me. Since I am only reviewing the patch, there is no harm in deleting the branch.

```
$ hub version
git version 2.14.1
hub version 2.10.0
```"
"Provide the name of the remote for the user's fork, the name of the user","TL;DR: There doesn't seem to be a way to know the name of the remote of my current fork. I would need it to automate pushing commits.

**Background**: people have different conventions when naming upstream/fork their remote repositories. Common examples: upstream/origin, origin/$USER etc.

I am writing scripts to be used by a team, and those scripts use git and hub to automate the creation of some branches and pull-requests.

The workflow is similar to the one found in the [default documentation](https://hub.github.com/):

```
git checkout -b $mybranch
git commit -am ""My automated commit""
git push $userremote
hub pull-request -m $msg
```

My issue is that given that people name their `userremote` differently I either have to parametrize it, or fetch it, which can be achieved using the following ruby code:

```ruby
def hub_fork_remote_name
  require 'YAML'
  hub_config = File.open(File.expand_path(""~/.config/hub""), 'r:bom|utf-8') { |f| Psych.safe_load(f.read) }
  user = hub_config['github.com'][0]['user']
  `git remote -v`.split(""\n"").map{|l| l.split}.select{|a| a[2] == '(push)' && a[1] =~ /github.com.#{user}/ }.first[0]
end
hub_fork_remote_name
```

It would be much easier if hub was able to display some information, such as the username and the fork remote name.

I am willing to contribute it, but would gladly first get some feedback on whether this is a good idea and where it would make most sense to add the feature.
"
"Bash completion outdated, incomplete","[hub.bash_completion](https://github.com/github/hub/blob/28ebb7ceaf868520025758aafd63f386bf19dc32/etc/hub.bash_completion.sh) checked against 2.9.0. The basics are fine, so no urgency, but here goes.

# Outdated completion:

Provided the comment in the source is correct (it was for those I verified, but I didn't verify all):

- `hub browse [-u] [--|[USER/]REPOSITORY] [SUBPAGE]`, but should be `hub browse [-uc] [[USER/]REPOSITORY|--] [SUBPAGE]`

- `hub compare [-u] [USER[/REPOSITORY]] [[START...]END]`, but should be
```
hub compare [-uc] [USER] [[START...]END]
hub compare [-uc] [-b BASE]
```

- `hub create [NAME] [-p] [-d DESCRIPTION] [-h HOMEPAGE]`, but should be `hub create [-poc] [-d DESCRIPTION] [-h HOMEPAGE] [[ORGANIZATION/]NAME]`

- `hub fork [--no-remote]` but should be `hub fork [--no-remote] [--remote-name REMOTE] [--org ORGANIZATION]`

- `hub pull-request [-f] [-m <MESSAGE>|-F <FILE>|-i <ISSUE>|<ISSUE-URL>] [-b <BASE>] [-h <HEAD>] [-a <USER>] [-M <MILESTONE>] [-l <LABELS>]`, but should be
```
hub pull-request [-focp] [-b BASE] [-h HEAD] [-r REVIEWERS ] [-a ASSIGNEES] [-M MILESTONE] [-l LABELS]
hub pull-request -m MESSAGE [--edit]
hub pull-request -F FILE [--edit]
hub pull-request -i ISSUE
```

# Missing completion

As in, it completes the command name itself, but no arguments. The affected commands:

- `ci-status`
- `delete`
- `fork`
- `issue`
- `pr`
- `release`
- `sync`"
Fixes bash completion for unaliased `hub`,"Since git v2.18, git no longer uses a `__git_list_all_commands` function
to get the list of subcommands to complete. That function was being wrapped
by hub to add hub's own subcommands to the output.

As of git v2.18, git's completion function invokes `git --list-cmds...`
instead of the `__git_list_all_commands` function.
Hub v2.5.0 introduces support for the --list-cmds option, so if
git is aliased to hub, the completion includes hub's subcommands.
However, this only works when git is aliased to hub.

This change introduces a corresponding function `__hub_main` as a
correlary to git's `__git_main` completion function.

Hub's function wraps git's function, but temporarily aliases git to hub
before invoking `__git_main`.
(This way, `git --list-cmds` will actually invoke hub, and therefore include
hub's own subcommands.)

After invoking `__git_main`, it then unaliases `git`, so as to not
have a side effect of creating an alias.

Caveat: if git is already aliased to something prior to the invocation
of `__hub_main`, then the alias is not disturbed; `__git_main` is
invoked regardless so at the very least, `hub` will complete git's
builtin subcommands.

fixes #1792 (for bash, at least)"
Adds traversing organizations you belong to for `git clone repo`,"Addresses #366

I would need some help in getting some tests written for this feature. I'm just a bit at a loss as to how that would work.
"
Tab completion for repo names in `hub clone`,"How about some tab completion for the shorthand repo names in the `hub clone` command?

This PR adds support for tab completion of repo names in `git clone <repo>`. It supports both un-qualified repo names for the current user, and `<user>/<repo>` qualified names.

Examples:

```
hub clone <TAB>
```

will list all the current user's own repos.

```
hub clone foo<TAB>
```

will complete this user's repos starting with ""foo"".

```
hub clone defunkt/<TAB>
```

will list all repos for user `defunkt`.

<img width=""837"" alt=""screen shot 2018-12-22 at 12 58 46 am"" src=""https://user-images.githubusercontent.com/2618447/50371246-d2162780-0584-11e9-9bed-476179e54a3d.png"">

<img width=""837"" alt=""screen shot 2018-12-22 at 12 59 07 am"" src=""https://user-images.githubusercontent.com/2618447/50371247-d3dfeb00-0584-11e9-85e2-467a5fd3d820.png"">

### Limitations:

Does not complete user names, because there's just too darn many of them. (Maybe if the GitHub API exposed a prefix-filtered user listing endpoint, we could do that too.)

It's pretty slow right now. If this PR is accepted, I'll add some caching to it.
"
Automatically add the `upstream` remote when cloning a fork,"```sh
$ hub clone my-fork
> origin:   git://github.com/MYUSER/my-fork.git
> upstream: git://github.com/OWNER/original-project.git

$ hub clone --origin=upstream my-fork
> upstream: git://github.com/MYUSER/my-fork.git
> origin:   git://github.com/OWNER/original-project.git
```

Ref. https://github.com/github/hub/issues/348
Fixes #811

/cc @apjanke"
Allow specifying the git remote name for a command,"### pull-request

When raising PRs, by default I want to raise a PR from the branch my current `HEAD` is tracking (which is on the `fork` remote) to the `HEAD` branch on the upstream repo (i.e. the default branch for the `up` remote, `refs/remotes/up/HEAD`).

This is the current command I have to run to do this:

```bash
hub pull-request \
  -b $(git remote get-url up | 
       sed -E 's|^.*github.<company>.com[:/]([^/]+)/.*$|\1|'):$(git symbolic-ref refs/remotes/up/HEAD | 
       sed 's|^refs/remotes/up/||'
  )
  -o
```

This resolves to something like:

```bash
hub pull-request -b upstream_org:dev -o
```

I would like to be able to specify the remote name instead, so I could just do:

```bash
hub pull-request -b up/dev -o
```

I'm thinking `hub` could work out that this is a remote-tracking branch name, and resolve `up/dev` to `upstream_org:dev`.

---

### remote create

I have the same problem with `hub release create`, except that here AFAICT there is no way to specify a remote name or an org name, given two remotes, neither called origin, `hub` just picks one at random.

`hub release` does take a `--commitish` flag, but that flag is passed directly to the GitHub API without being resolved.

This makes `hub release create` unusable for us, as where the tag gets created is not clear."
Updated README.md with Ubuntu Snap install instructions,Adds a section for installing `hub` on Ubuntu with `Snap`
"release/create content-type default to ""application/octet-stream""","for example, see release done via web ui: https://api.github.com/repos/DomainDrivenArchitecture/smeagol/releases/14283686
one asset has `content_type: ""application/x-java-archive""`

another release done via hub: https://api.github.com/repos/DomainDrivenArchitecture/smeagol/releases/14536031
has `content_type: ""application/octet-stream""`

I think there should be a way to specify this (maybe via cmd flag)"
Improve Zsh completion installation docs,Fixes #1956
Use hub to list code reviewers that would be added from CODEOWNERS file,"The idea here is that hub could have a command to list the users that would be added to a review/commit/etc via the CODEOWNERS file.  This could also be used to test the CODEOWNERS file before pushing changes, i.e. If I use this glob, what files will I be put on reviews for?"
Suggestion: add docs for zsh completions,"Out of the box, Zsh completions don't work as you would expect.

Given a fresh install:

``` bash
brew install zsh
brew install git
brew install hub

# Workaround to fix bug with hub completions.
# hub completions only work when this alias is set.
# https://github.com/github/hub/issues/1792#issuecomment-403413131
alias git=hub
```

When I type `git pull-<tab>`, it successfully completes to `git pull-request`.

However, completion does not work for subcommand arguments. For example, when I type `git pull-request -<tab>`, the arguments do not complete.

After some digging, I discovered that I had two sets of Zsh completions for Git (using the setup above, which I believe is the route most people will take):

- Git's official completions (e.g. `/usr/local/share/zsh/site-functions/_git`)
- Zsh's official Git completions (e.g. `/usr/local/Cellar/zsh/5.6.2_1/share/zsh/functions/_git`)

Both of these were on my `$fpath`.

I then discovered that the author of the Hub Zsh completions seems to advise the usage of Zsh's official Git completions, rather than Git's official completions: https://github.com/github/hub/pull/295#issuecomment-14324233

I removed Git's official completions with `rm /usr/local/share/zsh/site-functions/_git` and then Hub Zsh completions seemed to work as expected. That is, when I type `git pull-request -<tab>`, arguments *do* complete.

I would like to suggest that we clearly document this caveat—Hub Zsh completions only seem to fully work when using Zsh's official Git completions, rather than Git's official completions—along with instructions for how to use Zsh's official Git completions instead.

/cc @goodell "
Docs: mention that comma-separated lists must not have spaces,"This was tripping me up for so long. I eventually discovered the problem was my spaces, re. https://github.com/github/hub/issues/1287#issuecomment-250454584."
Hub doesn't work properly after username change,"Time ago my username at github was `gjuniioor` so I changed to `gildasio`. After that `hub` doesn't work properly.

Look, I can't create a repository with `gildasio/test` argument but with `gjuniioor/test` it works.

![hub_bug](https://user-images.githubusercontent.com/6231305/48806660-cb806000-ecf9-11e8-8f0a-fad4500defe9.png)
"
Store proxy in hub config,"I have a requirement wherein I have to use different proxies for reaching public GitHub vs GitHub enterprise deployment.

This would be made much easier if the `hub` config file could keep `http_proxy` settings separate for each host. "
Support multiple github accounts by allowing different hosts for Github API vs git operations,"I'm using an increasingly common hack to allow me to use multiple github accounts - one private and one for work - where I have two SSH config entries, one for `github.com` for my private account, and one for `github.com-work` for my work account.  See https://medium.freecodecamp.org/manage-multiple-github-accounts-the-ssh-way-2dadc30ccaca for more on this approach.

I can convince some hub commands to work this way, as long as I have an existing cloned repo with an origin pointing to `github.com-work` and my GITHUB_HOST unset or set to `github.com`.  But some operations, such as `hub clone`, won't work no matter how I tweak configs, because they use the same GithubHost value both for git commands and for github API calls:

```
hub clone mywork/myproj
> GET https://api.github.com/user
< HTTP 200
...
$ git clone git@github.com:mywork/myproj.git
remote: Repository not found.
````
I want it to do `$ git clone git://github.com-work...` instead, so the correct ssh key will be used.

If I set `GITHUB_HOST` to `github.com-work` then the API calls don't work because the host is invalid. (they don't even work if I set up a hacky `/etc/hosts` redirect, because then the https certificate is invalid)

It'd be great if we could have an optional `GITHUB_API_HOST` variable or some other way to specify that the API is on a different URL to `git clone` commands.  I suspect this would also help several other issues here related to github enterprise users."
Warn about an unpushed branch when opening a pull-request,"I think this was previously the behaviour (before the change from `#` to `>8` for the `PULLREQ_EDITMSG`).

Basically I'd like to see the commit messages in the text by default, so I can easily move them above the line if I want. Having the default Pull Request template text there as well also makes sense, maybe template above the scissors by default and commit messages below would make sense.

Basically something like this:

```diff
+<Github PR template>

# ------------------------ >8 ------------------------
# Do not modify or remove the line above.
# Everything below it will be ignored.

-<Github PR template>

+<commit messages>
```

Swapping ""commit messages"" and ""Github PR template"" would be fine too I guess."
Don't store authentication credentials in $XDG_CONFIG_HOME,"`hub` stores an oauth token in `$HOME/.config/hub/`. This behavior is a deviation from the XDG directory standard with serious security implications. XDG_CONFIG_HOME is intended to store configuration files only, which means many users may accidentally back up this sensitive data via insecure means to insecure locations.

A much better place to put passwords and cryptographic keys would be in $XDG_DATA_HOME (on my system this is `/home/ryan/.local/share`).

Further reading: https://specifications.freedesktop.org/basedir-spec/basedir-spec-latest.html"
pull-request with labels that don't exist should not create the labels,"Hi team,

```
hub pull-request -l existinglabel,nonexistentlabel
```

This command will assign both `existinglabel` and `nonexistentlabel`, creating the latter as part of the process.

I think I would've expected it to ignore the non existent label rather than creating it.

Perhaps there could be a configuration setting to disable this behaviour? I can see that it might be useful to some people that it does create the label."
Add .config/hub yaml file example,"I spend a good time trying to find an example of `.hub/conf` file and I understand how it works looking the tests, but I was not sure about the file format.

As my 2fa does not work, I never got the chance to see the file being generated. I decide to share an example in the official docs. Not sure if that place is the best, but I figured how that I needed that file exactly from that point."
docs(index.html): add hub.protocol config example,https://github.com/github/hub/issues/1596#issuecomment-336800484
Add Go module,"The list of required directive is automatically detected by ""go mod"" from
Gopkg.lock file."
Add chromeos install section to README,
OAuth token not resent after temporary redirect,"After Hub follows a temporary redirect, it does not seem to set the `Authorization` header for the subsequent request

I'm using GitHub enterprise.
```
HUB_VERBOSE=1 hub pull-request                                             
$ git rev-parse -q --git-dir
$ git remote -v
$ git config --get-all hub.host
> GET https://git.foo.com/api/v3/user
> Authorization: token [REDACTED]
> Accept: application/vnd.github.v3+json;charset=utf-8
< HTTP 307
< Location: https://gh.foo.com/api/v3/user
<a href=""https://gh.foo.com/api/v3/user"">Temporary Redirect</a>.


> GET https://gh.foo.com/api/v3/user
> Accept: application/vnd.github.v3+json;charset=utf-8
< HTTP 401
{""message"":""Must authenticate to access this API."",""documentation_url"":""https://developer.github.com/enterprise/2.14/v3""}
```"
Feature Request: Ability to associate a pull-request with a gh-project,Almost all of the fields that can be associated with a pull request using `hub pull-request` are exposed except for github projects.  It would be nice if hub had the ability to pass in the project id or name that a PR should be associated with.
Use /dev/tty when possible for prompts,Closes #1225
truncate .git/PULLREQ_EDITMSG when creating a pull request,"If I want to create a pull request but when writing the pull request message I want to cancel and ctrl+c the hub command and then try again later, it'll reuse the old pull request message which is annoying as I might have updated the commit message and want it to automatically appear."
`hub clone public/repo` should not prompt for authentication,"I commonly drop `hub` onto a new laptop just for the `hub clone user/project` syntax. It'd be awesome if that usage didn't require authentication for public repositories. In fact, I'd ideally rather it didn't prompt for authentication at all and just translated the URL; I configure `git` to use `ssh` for all github repositories and so my ssh keys will silently kick in and allow the clone to succeed."
Create '--no-track' option for hub pull-request,"In my daily work, I always run

    git branch -u origin/master

on my feature branches to keep track of the master branch which I will eventually merge in to. It bothers me that `hub` resets my tracking branch after creating the PR, so that I have to re-run `git branch -u origin/master`.

We could also discuss changing the default behavior of hub to opt-in to `--set-upstream` rather than to opt-out. But for now I am happy as long as I get this option, so that Hub can co-operate smoothly with my workflow."
add methods to config to return api base url and upload url,"I'm writing a tool to synchronize a standard set of labels across my repositories as GitHub has not implemented this feature yet. I'm using https://github.com/google/go-github

I was thinking about how to deal with authentication when I realized this package already exports 

https://github.com/github/hub/blob/c60ca203c9ecfdb8e0693a0fc0edfa9d58dd00d1/github/config.go#L301

Which makes it extremely easy to reuse the same authentication as hub itself and so I don't have to implement anything special. This is very convenient. It'd be even better if we added a method to the config struct to return the correct Base and Upload URLs for the APIs. E.g. `api.github.com` vs `exampleenterprisegithub.com/api/v3`. This would make it dead simple to use [google/go-github](https://github.com/google/go-github) with `hub`'s config file and authentication.

If this is approved I can work on PR."
"Editing release tag from command line always results as ""untagged-XXXXX""","So basically I'm trying to automate my release process by creating a draft ""proxy"" release and I would like to edit its tag version when I'm about to actually publish the release.

The thing is, I realized that:
1_ When I try to edit anything regarding the release, the tag ends up being something like ""untagged-1421c803c66244c71c64""
2_ Can we even change _just_ the tag for a draft release?

**STEPS**
- So first I apply this (which works):
```
gabu$ hub release create --draft -m ""Proxy release"" -t ""release/e2e-qa"" v0.0.1-proxy
https://github.com/<my_team>/<my_project>/releases/tag/untagged-eb4323448616e25da835
gabu$ 
```

✅
<img width=""884"" alt=""screen shot 2018-07-25 at 17 53 55"" src=""https://user-images.githubusercontent.com/14102252/43190524-31c6c6ba-9034-11e8-9cf6-bd434202a76d.png"">

✅
<img width=""768"" alt=""screen shot 2018-07-25 at 17 54 07"" src=""https://user-images.githubusercontent.com/14102252/43190525-31f21950-9034-11e8-803d-cf4b198df71c.png"">



- But when I try to edit something (let's say just the title):
```
gabu$ hub release edit -m ""This is such an amazing title"" -t ""release/e2e-qa"" v0.0.1-proxy
gabu$ 
```

✅
<img width=""882"" alt=""screen shot 2018-07-25 at 18 00 34"" src=""https://user-images.githubusercontent.com/14102252/43190768-bcef3510-9034-11e8-9393-368a31c50132.png"">

❌
<img width=""752"" alt=""screen shot 2018-07-25 at 18 00 44"" src=""https://user-images.githubusercontent.com/14102252/43190769-bd1a2964-9034-11e8-8d3e-ab68d16c6407.png"">

Which ends up being the original name of the draft release tag that is `untagged-eb4323448616e25da835`
And when I try to `hub release edit` again with the latter tag name, it ""works"" even though it didn't work at the very first edit attempt.

That said, I tried somehow to edit the `tag` by just adding an additional argument in the end (just trying here...) but again it would result in no changes except for the renaming of the tag to `untagged-eb4323448616e25da835`.

Which makes me wonder: is this the expected behavior?
And most importantly... can we actually **change the tag of a draft release** by command line?

I feel like I'm missing something trivial here...
Thanks in advance!"
"Missing bash completion function for ""issue"" subcommand","Hi there.

I think this one is pretty self-explanatory. It looks like a `_git_issue` completion function was never made yet in the bash completions file."
Add --wait flag to ci-status,"I have my releases gated on `hub ci-status` passing. It would be handy to have a `--wait` parameter that waited for a success or failure before returning.

This would mean I could start a deploy command, knowing that when the tests succeed a deploy will start, without needing to wait at the terminal running `hub ci-status`. The alternative is to write my own while loop which runs `hub ci-status` but that feels a bit dirty, and I think this kind of thing could be more widely useful?

Here's what I wrote. I added a 15 second sleep between each call, hopefully this isn't too much polling on GitHub's API?

```bash
# Turn off logging and immediate exit on fail, as we are going to loop on ci-status
set +ex

hub ci-status ${SHA}
RET=$?
# Exit code of 2 means pending
while [ ${RET} -eq 2 ]; do
  sleep 15
  hub ci-status ${SHA}
  RET=$?
done

# If we didn't get a successful CI run (0) then exit
if [ ${RET} -ne 0 ]; then
  exit ${RET}
fi

# Turn immediate exit back on
set -ex
```"
hub compare doesn't default END to current branch,"I have hub 2.5 installed on my new laptop via homebrew. When I run ""hub compare"" I get a usage message instead of getting a comparison for the current branch. I verified that this isn't an issue in hub 2.2.3 on my older computer. 

Let me know if there's anything you need from me to help repro. "
Unknown CA Authority for github.com,"On my MacBook Pro, running High Sierra, using `hub` installed via homebrew:

```
$ GITHUB_TOKEN=[REMOVED] hub pr list
Error fetching pull requests: Get https://api.github.com/repos/username/project-foo/pulls?per_page=100&: x509: certificate signed by unknown authority
```

Note this is different than #852 as this project using ordinary github.com, which uses a normal TLS certificate signed by a well-known root CA."
Auto-completion stop to work with Git version 2.18.0,"I use macOS and Homebrew to install/update Git and hub.

After upgrade Git (`brew upgrade git`) from version `2.17.1` to `2.18.0` the auto-completion of the GitHub commands provided by hub (`browse`, `ci-status`, `compare`, etc...) stop to work in Bash.

Previous configuration with auto-completion working:
```
$ git --version
git version 2.17.1
hub version 2.4.0
```

Current configuration with auto-completion not working:
```
$ git --version
git version 2.18.0
hub version 2.4.0
```

I was able to reproduce the error in two different machines."
"Is it ""policy"" that installing hub does not wrap git by default? Or...?","I'm a bit confused, on a couple of issues.

Is it something like ""policy"" that _completions_ for git (wrapping hub) be installed by default, but that users **must** themselves make another, manual intervention in order to have this alias/wrapper enabled by default?

Or is this based on the assumption that doing so isn't possible without the installer or package manager editing either a _**user**_ or _**system**_ config file (which _is_ a bad idea)? Did prior versions of package manager formulae and/or install scripts do this, but this has been changed?

Because as I read https://hub.github.com, I should be able to `brew install hub`, after which I should be able to invoke `git version` and it will show me a hub-wrapped-git, but this definitely is not the case.

I ask because, while I agree that installers shouldn't make changes to user or root profile/config files, there **are** other, better, middle ground options these days. For example, `fish` ""now"" (I'm not actually sure how recent this addition is, but in any case) includes a ""vendor functions"" directory, as well as vendor completions; this would allow for a wrapping function to be added by default, without modifying config files.

I bringing this up not because I'm hugely invested in the convenience of not having to add a line to a config/profile file.

Its actually because I take serious issue with your **[very bold assertion that is somehow ""safe""](https://github.com/github/hub/blob/master/README.md#aliasing)**.
[Let me know and I can split this out into a separate issue from the ""vendor function"" suggestion;
but there's a reason I didn't lead with this part, as I don't want to call too much attention here.]

Hear me out: sure, you're not overriding any underlying `git` functionality. But what if (in any of dozens of ways) something happens to the `hub` executable, or the user's `$PATH` is modified, or simply, another alias is added at some point. I'm not sure I even need to give you a proof of concept here:

```sh
alias git=hub
# Sometime later, some script is run, and either added to the same file, or by sourcing another...
alias hub='printf ""\033[31mUh-oh!\033[0m\n""; command hub'
# And now try:
git version
```

With a vendor **function**, there are several advantages, in that:
- You can make sure `command hub` is being invoked, avoiding alias injection (and you could add code to `hub` itself making to sure its not being invoked by a wrapper that had path priority)
- Many package managers require at least a user to be in an admin group, if not sude/root, to add or modify these functions.
- But you can still give a standard user the ability to opt out, by, say, setting something HUB_DO_NOT_WRAP_GIT.
- A function (as opposed to simply an alias) can also include a fallback, so if (for instance) something happens to `hub` (`brew unlink hub`? During an upgrade?), `git` invocations will continue to function.

As an example (homebrew and fish), add this `git.fish` to `/usr/local/share/fish/vendor_functions.d`:
```fish
# git wrapper function for hub (includes fallback)

not command -sq hub; or set -q HUB_DO_NOT_WRAP_GIT
and functions -e git

command -sq hub; and not set -q HUB_DO_NOT_WRAP_GIT
and function git --wraps hub
  command -sq hub
  and command hub $argv
  or command git $argv
  return $status
end
```

So, let me know. Maybe I'm missing something. Maybe you disagree. Maybe you have a better solution. But if you like, I could have PRs ready for you and homebrew in a couple hours. If you wanted. (For the fish implementation, which could be used as a rubric; I'd let others take over for the other shells).

❦ Geoff"
